X,Y,name,cp
-3.44477224175175,37.295265678686,Huétor de Santillán,18099
-3.48201524053193,42.2039830101192,Comunidad de Villoruebo y Torrelara,53043
1.05014874631264,36.2689192956341,Santa Úrsula,38039
3.95902329111658,36.8071112398681,Tías,35028
2.36023946616943,41.491046001167,Premià de Mar,8172
1.08840867368478,36.2718995608372,La Victoria de Acentejo,38051
-8.1275420850564,43.4996584230544,Neda,15055
3.06991493671211,41.8587124993358,Calonge,17034
-3.06364680965957,41.9916416673827,Comunidad de Quintanar de la Sierra y Vilviestre del Pinar,53034
-6.83606461360742,37.4106757237213,Trigueros,21070
-3.31619458302119,42.008573156697,"Comunidad de 09076, 09578, 09606 y 09822",53012
-6.99399793495026,38.3484474106622,Zahínos,6159
-7.98592306426896,43.3452476782639,Monfero,15050
-8.23671351697302,43.45148078564,Mugardos,15051
-3.72283519300205,36.7806983068816,Almuñécar,18017
-0.92443510961188,40.9020008501379,El Franco,53077
-0.748829545978897,39.7092708269135,Casinos,46089
-3.41364783435455,40.6602217920448,Ribatejada,28122
1.97596474175373,35.8864533862395,Santa Brígida,35021
0.928920457436346,41.4924726712114,La Floresta,25092
-4.82368729170836,40.7056938120906,Marlín,5120
-8.69937460106628,42.4592806833286,Poio,36041
-3.27448756793108,36.8414972893478,Torvizcón,18179
-2.60755266814429,36.7879924657011,Roquetas de Mar,4079
-2.2066060933085,43.2840832562101,Getaria,20039
-3.78694918281417,40.9626503269028,Lozoya,28076
-2.35311545692763,38.5760427350783,Paterna del Madera,2058
-1.63296044902188,42.9846282071716,Facero de Uzamalarre,53059
-8.15474104124241,43.4042534870828,Pontedeume,15069
4.25231709506418,39.8379379837182,Sant Lluís,7052
-5.44575739943075,40.8615375058851,Garcihernández,37148
3.25821897737014,39.5527984065397,Manacor,7033
-3.24792617406676,37.2033649813432,Lugros,18123
-2.46421804203975,40.3457146653263,Buciegas,16038
-6.75819852692304,38.921146726696,Pueblonuevo del Guadiana,6902
-1.24650261029626,42.300372107637,Layana,50135
-1.54869288209369,41.8275158658889,Maleján,50156
1.70812997338628,41.4923095841799,Cabrera d'Anoia,8028
-3.58204634341377,36.7678579321408,Salobreña,18173
-3.68660014583555,42.2700172761744,Saldaña de Burgos,9332
-0.538527635292532,42.5512217281115,Jaca,22130
0.678090201634534,42.5197642473173,Montanuy,22157
-0.288347033848136,42.2155973822594,Loporzano,22150
-0.84871396744036,38.1049840901316,Rafal,3109
-1.75521977535736,42.6557792076935,Enériz/Eneritz,31089
-4.49168316349222,42.4905056024309,Bárcena de Campos,34025
-7.28067790043539,37.2329001506923,Isla Cristina,21042
-4.85026109456609,37.5591348595236,Santaella,14060
-3.1197009804252,40.3181897212571,Mondéjar,19192
0.729460561146522,41.9936787852568,Àger,25002
2.54703821487308,41.5819550052014,Arenys de Mar,8006
1.94787575966487,42.1851071850698,Castell de l'Areny,8057
1.01909041325903,41.5347888460076,Maldà,25130
-5.5032967531127,40.9868079091762,San Morales,37288
-2.52723743543468,41.4382312397853,Frechilla de Almazán,42083
-0.221714944722108,38.992362032016,Gandia,46131
-6.57674942183688,38.2034621555817,Fregenal de la Sierra,6050
-5.94408886266676,38.1058416696774,Fuente del Arco,6053
-6.73926913363332,38.1628519468635,Higuera la Real,6067
-6.82360735429692,40.0592886729271,Cilleros,10064
-6.40087486600038,39.7888170323653,Cañaveral,10045
-8.87300197811111,42.5452312313608,A Illa de Arousa,36901
-1.72516986053176,37.3979564873095,Pulpí,4075
-3.74238106591209,41.7761399789337,Quintana del Pidio,9281
-6.70188245439642,38.7128704239052,Entrín Bajo,6045
-2.09440110301804,42.6180035884627,Facería de Ayarza,53070
-3.50265596192644,40.742536919576,Talamanca de Jarama,28145
-3.8021786172692,40.1911640295263,Torrejón de la Calzada,28149
-1.34868511168048,40.155579252435,El Cuervo,44092
-3.04006142139356,41.8881934906133,Comunidad de Canicosa de la Sierra y Casarejos,53018
-3.50557458288877,38.0620294313893,Canena,23020
-1.49047811639938,41.8271046843037,Albeta,50011
-2.14484004586238,41.4649453750031,Torlengua,42184
-0.032002927254223,41.6694715921219,Villanueva de Sigena,22251
-1.27826758069067,41.0820153540077,Lechón,50138
-5.63958905326233,41.2556279740582,El Maderal,49102
0.039944288537253,38.6890271027078,Benissa,3041
2.3507344914147,41.552524124948,Òrrius,8153
-2.91543671045992,41.0602867596499,Pálmaces de Jadraque,19208
2.44448651020007,41.5417639976133,Mataró,8121
2.05822020575339,41.3657348215196,Sant Joan Despí,8217
-3.79311582145293,40.117417611441,Yeles,45201
-3.29328323122985,41.9511382856937,Comunidad de Gete y Hacinas,53026
-0.935794664932499,38.2758228945599,Hondón de los Frailes,3078
-5.0679245926694,43.3178383721385,Cangas de Onís,33012
-5.99149625418116,43.5518825515814,Castrillón,33016
-6.95530889898812,43.4636919379818,Castropol,33017
1.34437395035406,41.7695856530876,Sant Guim de la Plana,25197
0.590071999341209,41.5165659087861,Sunyer,25212
2.82909571207107,41.8983022850397,Campllong,17038
2.77153438591994,42.1287807209917,Banyoles,17015
-6.81899572528409,39.9170823474138,Zarza la Mayor,10218
-0.492876368182218,38.9230436789972,Guadasséquies,46138
-5.57137201697236,38.8977633856438,Campanario,6028
-1.19274504526589,42.6227272696889,Yesa,31261
-6.10024686871421,38.8092034357209,Cristina,6041
3.42020921479977,39.6879077122253,Capdepera,7014
-2.13192459182144,43.0576626375428,Gaintza,20037
-6.37359675147125,38.7937589554564,Torremejía,6133
-7.80349224754636,42.1080372175871,Vilar de Santos,32090
